Project,BIC,BFC,Bug-inducing Development Activity,Compatibility Errors,Intrinsic Errors,Location With Fixing Changes,Feature Interaction,Knowledge,Change Size,Description
google/closure-templates,6efe470dc3d9119886827e70bc2641f62b23c4dc,ef0e5b59f9e5631390ad1164d3ee62ffc6c263ba,feat,No,Business Error,Same Location,0,Project,2790,BIC adds a feature that automatically rolls back if a test case fails
google/closure-templates,a3632fa5c95d50095999bf56d2a63c35dbe1a85e,487d376c923317a183e30fa51d89de5314f802e5,feat,No,Business Error,Same Location,0,Project,124,I want to avoid Jscompiler's optimization by moving $$legacyObjectMapToMap to a separate file. This is a workaround.
google/closure-templates,a3632fa5c95d50095999bf56d2a63c35dbe1a85e,487d376c923317a183e30fa51d89de5314f802e5,feat,No,Business Error,Same Location,0,Project,124,"bic move $$legacyObjectMapToMap to separate file,bfc 自动rollback"
srikanth-lingala/zip4j,fd6b4ce84e25f9e16babd8e127d1a0be308ebe13,860965237a746e481071a656377633f84dfb388b,fix,No,Business Error,Same Location,1,Project & Domain,2789,"Fixed renaming and removing files from zip. The calculation of the byte length of the file in copy was overwritten, and the calculation was wrong and gave a negative value."
apache/commons-compress,9bdacbfb9631d3a3710a64f35482c643b78a2e79,7250daa429020181bb5a4c40d1aaa169631b8496,fix,Invocation,No,Same Package,0,Project & Domain,124,"Added tais.getNextTarEntry().isCheckSumOK() to fix the bug that some non-tar files were misidentified. This method will call verifyCheckSum, which will miss bytes when the first six digits of the current header file contain 000."
apache/commons-compress,915fdd3fcb55f81fbb4f63f9f9752c329488c524,f8bf45444c49053a92f6f560c5008d5ac43aa27f,fix,No,Business Error,Same Method,0,Project & Domain,487,"BIC adds an if branch to handle a special case and deletes part of the test case; BFC is revert, causing BIC to fail the test case"
assertj/assertj-core,df58d622a8ea4d68697559787089884fc2b80bf8,8d83c419f34f7dab982cd84d438480cf74e3b17a,feat,No,Business Error,Same Method,0,Domain,1388,"Add bareNamePropertyMethods to directly findMethod, findMethod causes static methods to be considered getters"
assertj/assertj-core,337f99eee5cdcab9270145c47b429cbc48fb0134,a52f7d08317cf4bae7947508324885f5e2086d7e,feat,No,Business Error,Same Method,1,Project,1933,"Bic attempts to add support for nested Maps, but puts the judgment of Map first, which destroys the normal Map processing logic."
assertj/assertj-core,5db57c822a8df11ec657767c502a083c1dc5f21d,ed73abf81f99c431687b58a60f087e75038f27ad,feat,No,Business Error,Same Method,0,Domain,837,"BIC adds support for iterators, but does not implement consume(next) correctly"
crawler-commons/crawler-commons,569ec9b8cd7f83a7f311bf0cfcc7c2e6cde0b5d8,f598af8d28df11cfccd96962eb9034a35409ed2e,feat,Invocation,No,Same Package,0,Project & Domain,1991,"Use ETLD instead of PTLD, but ETLD previously had no constraints on private domain names"
crawler-commons/crawler-commons,ee69049db0eae41bfc0549ac7fa4f3f6058f5f49,82859c2b1a01844f257795944b516ad2a1c0749b,feat,Data Flow,No,Different Packages,1,Project & Domain,9576,"Bic removed the DOM-based parser and changed the way XML is parsed, causing the lastmod element to fail to parse correctly."
crawler-commons/crawler-commons,03163d0b3f9151b3a72ba80a80f012b8c567f235,f598af8d28df11cfccd96962eb9034a35409ed2e,feat,No,Business Error,Same Method,0,Domain,213,BIC adds support for TLD without setting excludePrivate parameter
davidmoten/rtree,08a6485f741c74d1b4236685e3dc6c0b6b0da08d,49fe7d4a916f9652cdec2a56e21260fb519b1e03,refactor,No,Business Error,Same Method,0,Programming,3935,"The reconstruction is incomplete. When double is used, Float is incorrectly returned, which causes Float to be serialized as 1.0 during serialization."
davidmoten/rtree,a7a984a8d5c5baa83d4919f87132ae074ef0c51d,8786a08157f31ccd61ed75437912a9a4c3b21b48,feat,Invocation,No,Different Packages,0,Project & Domain,1629,"Bic changed the function of determining whether there is intersection from the external JTS to its own Rectangle2D implementation, which has problems"
davidmoten/rtree,4b4c7487ac40f68e6ef2d2edeb894a9d5682667c,f6aa774eca578976e90975b56a7c5a73c6bd9913,feat,Invocation,No,Different Packages,0,Project,9296,"Bic adds double precision Rectangle and other implementations, and also has Float precision implementations. When returning results, only double precision is returned (without matching judgment)"
davidmoten/rtree,a7a984a8d5c5baa83d4919f87132ae074ef0c51d,3cb0490709bb98d49990d49113009a4951aff5d8,feat,Invocation,No,Different Packages,0,Project & Domain,124,"Bic removed the use of the JTS package and re-implemented Line intersection judgment, resulting in incorrect support for zero area rectangles"
vert-x3/vertx-codegen,3f9a7371eb6973fc52b28bf713a2dc10c44aaf17,9cef2a50d229507cbacb534089f22af8b0de4544,fix,No,Business Error,Same Method,0,Project & Domain,617,"An exception should be thrown if it is not a json-related interface, but the addition of if (optionElt.getKind() == ElementKind.CLASS) causes the branch error where the exception is thrown"
google/closure-templates,a3632fa5c95d50095999bf56d2a63c35dbe1a85e,487d376c923317a183e30fa51d89de5314f802e5,feat,No,Business Error,Same Location,0,Project,124,"bic move $$legacyObjectMapToMap to separate file,bfc 自动rollback"
INRIA/spoon,91f9fbdcecce19f3b70ca82c7deef39f900075ae,4ccbf0a1e7cc092d2b75aac767d3797eb10c0399,fix,No,Uncaught Exception,Same Location,1,Project & Domain,1445,"To support access to static raw stone type fields in annotations, JavaReflectionTreeBuilder.visitField is improved, resulting in an uncaught exception JavaReflectionTreeBuilder.Scan error"
INRIA/spoon,a4a9b20407d1a6af69c2e9cdd942ed4f8fd7c4fd,34b99e0c283e54fa281f5a3b9a85dd4af8cb6d8a,fix,Invocation,No,Different Packages,1,Project,810,"Make compilation errors visible to the public, which was not previously visible. This also exposes that savecache always compiles, and now savecache should not compile when compile is false"
INRIA/spoon,4efa8010e070e6b02abc6893b9d4e73502c1aa6e,f49b43d92cadf2a250527e957cbb710321be6959,fix,No,Business Error,Same Location,0,Domain,761,"Bic tries to fix parsing lambda expression comments, the position calculation logic is wrong"
INRIA/spoon,8a14aad51bda644da36251f0d4c6a508af1dc3cb,3df8d16b4ee013aecbeb8e560867cbe42e254a0c,feat,No,Business Error,Same Method,0,Project,1385,"A large number of bic modifications were made, involving multiple files. In order to delete a logic, the if judgment was incorrect."
INRIA/spoon,e731919f87e189b5c09a7dad06a815b227047b56,09cf967419583cf9731b7f5a158d69b0e961fa0a,refactor,No,Unchecked Null,Same Location,0,Project,1196,"Bic deleted the related empty logic, resulting in NPE"
INRIA/spoon,a8c907f73918bd3816a86a1de97b3a4e482727b5,d55f9c4b13384b5b8bc45aba24884721d9a19d00,feat,No,Business Error,Same Location,0,Project,843,"BIC adds access to inner classes with default visibility, but does not apply to other situations"
INRIA/spoon,2f594e5ca849ab1f8bda0c4204bd70f196f20138,7bd8e517856fe1477d8f8f52721df968a838cc21,refactor,Data Flow,No,Different Packages,1,Domain,4766,"Bic has made a lot of changes to adapt to JDK6, and the switch string in OUTPUTType has been changed, resulting in value errors"
INRIA/spoon,92ee4ba218ba99be72762b079b1553d0c2401ff2,4223c68994430e27a59737ede386642fa100da09,fix,No,Business Error,Same Method,1,Project,1143,"In order to fix the diamond call problem of the constructor, bic added the tryRecoverTypeArguments logic, but did not handle null correctly"
brettwooldridge/HikariCP,d6ddff7ff528e980907c1bd171022b27a2344a97,281c2872880bd67e294fc8cc41bffb89857a9c66,refactor,No,Business Error,Same Method,0,Project,124,"Use quietlyCloseConnection instead of connectionProxy.close(), which may cause the thread to not be killed in finally. In this case, decrementAndGet will count incorrectly."
brettwooldridge/HikariCP,b4f25170b3eae359166cab5c56f846294c25097d,b39141bfd55acae059551556de4406ee547cfb55,feat,No,Business Error,Same Location,0,Project,798,"Bic changed the status field to determine whether it is running, and BFC changed it back"
mikera/vectorz,97eca9430fb96fedfec43e04c10e596bf064d37a,b575566ea2bdc6b6c0a30f6ec1daeb97382d54f6,refactor,No,Business Error,Same Location,0,Project,1449,"dest[destOffset+i]=dest[offset+(stride*indices[i])]; In the method before override and other overloaded methods, dest[xxx]= this.data[xxx]"
mikera/vectorz,f2b1c6a625e6a462a94d9fe9ddb1e51843b5d768,55efaf21a075202ba6b78305e65be802505bc9a9,refactor,No,API Misuse,Same Method,0,Project & Domain,390,"To find the inverse of a diagonal matrix is ​​to find the reciprocal of the diagonal elements. Bic changed the original code for finding the reciprocal to DoubleArrays.reciprocal, but passed the wrong parameters. newData=new double[dimensions]; is used to store the result, but there is nothing in it."
mikera/vectorz,59f06be9dd7d63e558448e4c3d1d0d95b011462e,e37944e1410f5edbc47952ab67131d880baf7627,feat,No,Business Error,Same Method,0,Project,586,"Bic wants to re-implement the subVector function for JoinedArrayVector, but the subscript and array are incorrect when copying"
mikera/vectorz,415cd5db70cfb41511ecb3d89d4d99fe9825e895,c12bd12592ae7ecc343386bb5a20a99eed4a78e9,feat,No,Business Error,Same Method,1,Project & Domain,441,Bic adds an override equals method for ZeroMatrix (inherited from AMatrix). The subclass does not consider that the shapes should not be equals when they are different (the parent class considers it).
mikera/vectorz,9db4296f020a9b268bef5a6f700f1ef641f3cd02,bf64ef5380420debd169b9bcb933730a8d2dc967,perf,No,Business Error,Same Method,0,Project & Domain,8638,"Bic overloaded the set method in the Matrix subclass. It should determine the number of columns to determine whether it can be broadcasted. It was mistakenly written as the number of rows, resulting in an error."
mikera/vectorz,8ac11debaf7e4221721d6be6ae95377cf9f7d0db,83c9f2a7be6cb130eb314c07ee221568497f8f66,feat,Data Flow,No,Same Class,0,Project & Domain,764,Using SingleElementVector causes large matrices to be incorrect
mikera/vectorz,115bd172d7a310f16dea9ca465b9c41a5140f8b0,1637d1eb79319026734f2d57f42bb683ee52bfc7,refactor,Invocation,No,Same Class,0,Project & Domain,685,"Bic did some reconstruction on vector add, but did not take into account the subscript problem of 0 matrix"
getgauge/gauge-java,8ca94723ca24278fd103ba6e446d171d5a46eb9d,0e870d6ccd9ecccb599982dbda4d6e10e771cb72,build,No,API Misuse,Same Location,0,Project & Domain,3031,"The javaparser version was replaced, resulting in a problem with the returned compilationUnit annotation"
brettwooldridge/HikariCP,d6ddff7ff528e980907c1bd171022b27a2344a97,281c2872880bd67e294fc8cc41bffb89857a9c66,refactor,No,Business Error,Same Method,0,Project,124,"Bic tries to organize the code, which is equivalent to adding a subtraction operation on the connection field in catch SQLException, and there is also a subtraction operation in finally, which leads to a negative number."
jdereg/java-util,d8a1ed2b783de1a8933234ff19bff4c75467ee54,0eac4e2150b0dd15b12230c568db22d44fd5e636,feat,No,Uncaught Exception,Same Location,1,Project,124,"Added a new function, that is, outputting the type of Java objects to json, which only supports some specific types. If it is not supported, a new exception is thrown and not handled."
davidmoten/rxjava-jdbc,27557f1879c00eeffb733fe1b1ccfa1e1834d363,c2f7462cbee4f0238213bb6525bee1ab8e9dec18,feat,No,Business Error,Same Location,0,Domain,967,"When introduced into the code, attempts were made to convert all Number types (including Double and Float) to BigInteger, resulting in a NumberFormatException when dealing with floating point numbers that contained a decimal point."
amaembo/streamex,276f1008555b5c39a8ffb3ab9b68775e67d97713,0b2786e25c4f302cdb117160acae783f012518f7,feat,Invocation,No,Same Package,1,Project & Domain,466,"Replace Collector with your own CancellableCollector. Cancellable will disrupt the order when multi-threaded, and Cancellable does not support multi-threaded tasks"
jhy/jsoup,13c2af3f24fceda5b44776a5257112ac7218d038,ae80e51cf54971b6322b9b571734ffa5507c4947,feat,Data Flow,No,Same Class,0,Project & Domain,2555,"After canContainBlock is changed to formatAsBlock, formatAsBlock does not meet the previous tag distinction criteria."
jhy/jsoup,182f9033d552713c2e6cfdb93259950e169bc5e7,2f46ca2940ea3b11ab6d1c4b084e9622ab49f3aa,feat,No,Business Error,Same Location,1,Project & Domain,653,"BIC wants to treat span as block (not inline), which causes the HTML structure to change"
jhy/jsoup,78a028b9f6411c68782c1b98b2097c549b6e7940,f4061bdd897d210967540e877a5d85d826b066db,feat,Invocation,No,Different Packages,1,Project,4446,"BIC adds new functions and parameters, but does not take into account the convention that does not allow null initialization"
jhy/jsoup,f1d8912a4d6706ab9a8906eb9b4588e8fef2c86c,4744082e5dc5beb35c7dbbdbcbf7415294b5baf5,feat,No,Business Error,Same Location,0,Project & Domain,321,"BIC wanted to add support for the font tag and set it as an inline tag, without considering that it could contain block"
jhy/jsoup,57bce6dc8424637621f6b660855f23e72a08c4b3,da9b977ef99e2595602a964561906a930b4332f3,feat,No,Unchecked Null,Same Method,0,Project,4445,"BIC adds output charset configuration, but does not handle null correctly"
jhy/jsoup,436d119977bd44376e9dac92d82b21848a69732e,b4f20f07b81aa35ccf5432ed9be6f6049d9f5139,fix,No,Business Error,Same Method,0,Domain,590,"Bic attempts to fix the problem of timeout caused by too deep nodes, and limits the depth of the node stack, resulting in infinite calls and Stackoverflow"
jhy/jsoup,8749726a79c22451b1f01b14fb2137f734e926b4,bdf1df7eb3ca76cdcdaca38f7df5d941bbb1c664,refactor,Data Flow,No,Different Packages,1,Project & Domain,45913,Bic has been re-implemented. This commit has made a lot of changes. The BFC modification is to add new files. This is because the new files did not take this special situation into consideration.
jhy/jsoup,ea1fb65e9ff8eee82c4e379dc3236d09a5ab02e1,8b837a43cbe2c12624ab2088dc4ff9a725af5f4d,refactor,No,Unchecked Null,Same Method,0,Project,8196,BIC refactors the Attribute class and does not handle null
jhy/jsoup,f71712ba5d28df09c9a5b6e3c8a37f05f5e3372d,1028b37a1dfbc5dda7b18cbe692ab168c54fb505,refactor,No,Business Error,Same Method,0,Domain,10966,"Bic refactored TextNode to inherit LeafNode, and LeafNode itself does not support child nodes"
jhy/jsoup,f36b950de16f6db134bd98969cd8fbe578d37480,b033535fe2cf887de8076221a0d614abfcf17d7b,fix,No,Business Error,Same Location,0,Project & Domain,699,"BIC adds a validation rule that doctype is not empty, and BFC removes this restriction."
jhy/jsoup,8749726a79c22451b1f01b14fb2137f734e926b4,1d37cef1d8367af963fee4dc99164708f5d3c6f8,refactor,No,Business Error,Same Method,0,Project & Domain,124,"The markup is parsed for characters only, not numbers."
jhy/jsoup,277949e7115059f6f0071e1b3418b6f6cbf48e48,a14fb16d6430d8de4bf31c898d119ab713840c2d,feat,No,Business Error,Same Location,0,Project & Domain,400,"Bic integrates selector, and does not handle the simultaneous occurrence of and and or correctly"
jhy/jsoup,38049ce2808cafce3884c25c4613aaaff9f2d0d8,c324fabe86c0a59eb635610dc85d8d7a7be25c74,feat,No,Business Error,Same Class,0,Domain,2641,"Bic wants to store child nodes, but does not process the parent properly, resulting in the child nodes not being found."
jhy/jsoup,eb95cc7662dc5c438de8d9ef47ccf131bf7191a8,72fe7662416118598bc0af126c15cba3ca09d9b4,fix,No,Business Error,Same Method,0,Domain,1205,"Fixed selector so that ""parent child"" doesn't contain parent, but child parsing wrong!"
jhy/jsoup,8391b7231a2519557d41209d728acc4f422af381,11f7c1bd7a2d12f0b1150aa246c61afefd11991f,feat,Invocation,No,Same Package,1,Project,1835,"Bic implements the equals function for Node and Element, but it is not suitable when searching for equality."
jhy/jsoup,e45e53c849197be70364a63db8a7c6c8971c1ead,478b568061b317c79ba6fd018d9ac5fa931bdb02,feat,Invocation,No,Same Class,0,Project & Domain,1163,uncatch indexoutofbounds exception
hub4j/github-api,79b49a469c123335585953de1f57e106909245b4,d16a752b430d9db7444579cf753d4d175b721593,feat,Data Flow,No,Same Class,0,Domain,7218,"@Preview is changed to @Preview(SQUIRREL_GIRL), which causes annotation reflection to access private types and report errors"
apache/commons-jexl,21a1cfca333d32e373d4955df9a82d5bb7822cf1,5d191d7ea0cf081b95cb89b5352aba465b7e6811,feat,Data Flow,No,Different Packages,1,Project,34572,"The SellADD type and implementation were implemented during the Operator enhancement, but there is no adapter in the supported JexlParser.java"
uniVocity/univocity-parsers,48fd5fd661f52e8b98347d81181b2f7c8123054c,be25471badbc76f735ba77a075410f0e69a43aed,perf,No,Business Error,Same Location,0,Project,2336,"In order to improve performance, we added logic and method getQuotedString to handle quoted data, but we lack logic to handle when the data is empty at the end."
uniVocity/univocity-parsers,34632ebd31c651d7d84eac0af73729e244c0cb9e,eada3cb93e80842f63b9c784862fa45024dee7b4,feat,Data Flow,No,Same Class,1,Project,1516,"Enhanced functionality to allow CSV to get headers before parsing. This requires the original getheader to call parser.extractHeadersIfRequired() when the header is not initialized, but the original initializeHeaders() does not update the fields initialized in the header. extractHeadersIfRequired is incorrectly executed"
uniVocity/univocity-parsers,e7c1d0c8b888cc09fe4b6afc61ea6b5f1eb98a72,18dcff7a8ed411f78012e2f2cdd7f14123002af9,feat,Data Flow,No,Same Class,0,Project,4496,"handleException no longer throws an exception, but becomes return, which requires stopParsing to throw"
uniVocity/univocity-parsers,50ae63fe0585a7fe0da4a8abe1f42b15546a02c9,086b0e18b58a7c149cea55bc515fc22e5dec9c1c,fix,No,Uncaught Exception,Same Location,0,Programming,4254,BIC changed return \0 to throw exception
uniVocity/univocity-parsers,48fd5fd661f52e8b98347d81181b2f7c8123054c,f2f866b9b943e2cd4996968472134c754e11a482,perf,No,Business Error,Same Location,1,Domain,124,"is caused by changes to CsvParser and its handling of quoted strings and line endings. Specifically, the parser now incorrectly handles line endings within quotes, resulting in an incorrect number of parsed values."
uniVocity/univocity-parsers,15ca061816b19dd2988ba0bc3705f8ef68899b3b,8d8bf5d6a0abd379cd5e72b9ce0f32a74874e78a,perf,Data Flow,No,Different Packages,0,Project & Domain,3939,"BIC optimizes the input stream performance, destroying the detection of delimiters and causing exceptions"
uniVocity/univocity-parsers,4b1b8cceb103ae16f86570d5a162fa6d0c3616a8,33e9c4b6294be97e53bdc6eb1c4bd6227539addd,perf,Invocation,No,Different Packages,0,Domain,217,BIC has optimized the parsing of unquoted chars and does not handle length issues
uniVocity/univocity-parsers,1a5d197a1781737c68c75a19bdabfd2902eb30cc,c36c6814fe64304437a6af12796c475dac5359fa,feat,Invocation,No,Same Class,0,Project & Domain,1687,Bic enhances CSVFormatDetector and adds logic incompatibility after map
uniVocity/univocity-parsers,239e35f1bb861ca184bf87df2b0de08eb9c5c922,2f94c87924b6f4115466ab985e0da8db7fff500e,feat,No,Business Error,Same Location,0,Project,2847,"BIC changed the logic of allocating write space from pre-allocating space to expanding according to content, and the index addition and subtraction of the added expand logic was incorrect (this also caused an error even if only the expand call was restored to super.expand, because there was not enough space)"
uniVocity/univocity-parsers,e51b0958af69e677aa742cf4dab068654aca38dd,3d2ac0beebbcd080e9a7dc80eaaab03a4ff5e18e,feat,No,Business Error,Same Method,0,Project,449,"BIC cancels the creation of a new array with column reordering enabled, but does not reset the columns"
jqno/equalsverifier,4167e66984e3654fe7a916ed666a98e3a68ba50c,bbabc07e7ca2cd90a6e3e66b777865eb7cd94350,fix,Data Flow,No,Different Packages,1,Project & Domain,363,"Previously, the Field was assigned a value due to the modification verification. This will not happen after adding Modifier.isStatic(field.getModifiers()). This causes the Array to be null when the internal object of the Array is assigned a value."
jqno/equalsverifier,4167e66984e3654fe7a916ed666a98e3a68ba50c,36a1adb4b3e69ed2ae40fd0da73bf5119ca5940e,fix,Data Flow,No,Same Package,1,Project,124,"BIC stops modifying static variables, resulting in a failure to throw a null pointer exception?"
jqno/equalsverifier,6fedf6c696962b634ebc7bb6161b10226687f3d9,cedf5f95e660937b0f216390cbb621d0792eedf0,feat,No,Business Error,Same Method,0,Domain,2033,"Bic replaced the bytecode generation library (CGLib-->ByteBuddy), and unified the use of superclass.getClassLoader, resulting in failure to load dynamic classes"
jqno/equalsverifier,bc527ca7d56bb32fe082fe1aabc151348aad034d,16fcdfc1ecf197607ab21c9f9ee294522b72f6fd,feat,Data Flow,No,Different Packages,1,Project,684,"BIC modified the default value of the field, causing the specification to not match"
jqno/equalsverifier,848a6f14bc93b1983eece0046ded3b83f839996d,68a4ef261e7ccaf7169b795b830efbfcdc0efd86,feat,Data Flow,No,Same Class,0,Project,715,"BIC adds checks for == and equals, but does not handle the situation where static/final values ​​may be null."
jqno/equalsverifier,848a6f14bc93b1983eece0046ded3b83f839996d,359099cb89c0cb0eee97e4d2dbc109f3a22291f8,feat,Data Flow,No,Same Class,0,Project & Domain,124,"BIC adds checks for == and equals, but does not correctly handle the case where an equals method is defined for an interface"
jqno/equalsverifier,bc527ca7d56bb32fe082fe1aabc151348aad034d,3378248963a7165ac4050bb1591dac6467489a28,feat,Data Flow,No,Same Package,0,Project,124,BIC modified a configuration and ignored the test case (no changes were made to the configuration that needed to be checked)
antlr/stringtemplate4,8ad2c3dbdceeb33266da748fc209b45218916f08,025337a708ba6846a94de0784487347c24a8a0fa,fix,No,Uncaught Exception,Same Method,0,Project & Domain,124,"Changed the order of else if, causing the branch that was not originally covered to be covered. When the map key is Int, String is used to get the key"
Commonjava/partyline,77215c1d00fa1438e2aff9632b33697ab5bb774d,bcec18c3ca31e22fad2ac820b682ba8ba84f2771,feat,Invocation,No,Same Class,0,Project,124,"Bug 1: Changing end to System.currentTimeMillis() + timeout > 0 will result in an incorrect result, as the former is in milliseconds and the latter is in seconds."
Commonjava/partyline,e7b61e6085d635231a4c19c41224bb3b0e3925c2,9db15de3332587499557b79729010e601b5756cf,feat,Data Flow,No,Same Package,0,Project,4648,"eliminate read locking, but break the read functionality"
jeffheaton/encog-java-core,d8a143b7c90bbfe38ddd36db5b483057e4abebe4,16d438b15ed2d3054c68e206ed809ce7935e8bbe,feat,No,Business Error,Same Location,0,Domain,10857,"In addition, I set BufferReader to my own implementation of Read, but my own implementation is wrong"
jeffheaton/encog-java-core,a4d344409bdbd4a1ee2cb54b8543a65564422009,e385e11f43e690c56e113373cd409b9778528794,refactor,No,Business Error,Same Class,0,Domain,8839,"BIC refactored the parent class and created a new base class, but did not implement the Serializable interface, which caused a serialization error."
damianszczepanik/cucumber-reporting,51dd25432c74003acbecb5d99cd2f30ab0505f5f,fd5935b5589d268c45b6a4bc6061732222440d2c,refactor,No,Unchecked Null,Same Location,0,Domain,893,Added tags.deleteCharAt(tags.length() - 1); ignores the case where tags is empty
damianszczepanik/cucumber-reporting,ee01ffc432dbdc315ee0d278958fa4591fbe5e1f,078798351ed9716cfeeda70536302f53bd1e93ab,feat,Data Flow,No,Same Package,0,Project,4122,"The test case verifies the number of configuration parameters, which should be 8. After bfc deletes 1 useless configuration item, the number becomes 8. Bic adds 1 configuration item (10 appear)"
jeffdcamp/dbtools-query,f600e200eab32ca0d8c5c0f73adc98cfafd71bd3,40e59ced36c88a8d95375c681272ed62adf4cefb,refactor,No,Business Error,Same Location,1,Project,17765,"Bic has done a complex reconstruction (re-implementation), FilterList->Filter (has list-like functions inside) But the re-implemented functions are used. The objects in filter are reference types, and the original objects change when reused, but they were not before."
jeffdcamp/dbtools-query,7b62fe6fe211e6ecd1f2f0671df4897e9f885f8d,1d2f98576abc7a31f83dba5b9d104bb3af6cb74b,feat,No,Unchecked Null,Same Method,0,Project & Domain,1014,"Bic adds filter, but no empty check"
EsotericSoftware/reflectasm,7c3d828cc72ca6f1f58ee2e45526d5073fab33a5,900b4aab708e106bc8849055e93f42265c37e2de,feat,No,API Misuse,Same Location,0,Domain,1400,"Added code to verify constructor accessibility and exception handling, however the added code throws an exception when accessing private static classes, which is not expected."
PapenfussLab/gridss,3dfb4f4a8fb7124763aa746d9b8576db5571b48d,6c9ad0d7de2b0a26493e3fd3a83cb5011ae9d34c,fix,No,Business Error,Same Method,0,Project & Domain,2347,"I changed Typo, which resulted in a new call chain. The previous method has not been effective, and the parent class code is called."
PapenfussLab/gridss,6c9ad0d7de2b0a26493e3fd3a83cb5011ae9d34c,d02bdf5c48d9e2f389d32bf8ecd9516a6d23a4c9,fix,No,Business Error,Same Method,0,Programming,1116,"Bic Correct has the function of calculating the maximum/minimum window size, but the min calculation is written as max"
yegor256/takes,548a9397230d52e37c71635645d769f6f4c10825,8761ef3e04b0ef22514549f1fbab8e6599628941,fix,Invocation,No,Different Packages,1,Project,843,"The modified code of RsGzip obtains the changed content-length by re-parsing, but in Tkzip, the body is already closed before RSGzip is called. The fix introduced a shared object, resulting in feature interaction"
apache/commons-beanutils,8f67c1bbb9f09d82ae537aabe76979fd13827d0d,fc7a9d362dbd3c03ce32c64520c2678f6712a848,fix,Invocation,No,Same Package,0,Project,1574,"Add a method in Bic to force the result to be converted to target type, so external callers are required to provide a default targetclass"
classgraph/classgraph,ec4b7248f4c0952175a565ea692450af66617fc3,b5f6f938f88eccc55cd997b44981ded78ca7c2ec,perf,No,Business Error,Same Location,0,Project,649,"Scan judged that there was no duplication and added classpathElt to scannedAbsolutePaths. RecursiveScan made another judgment, which resulted in the sub-files in dir not being scanned directly."
classgraph/classgraph,0f7234b8c785296872b0f9a05f4674e8c3389716,c71d4ac481d00bdd727c3a6c36f8c39ee85b6f59,fix,Data Flow,No,Same Class,1,Project & Domain,1860,"Bic tries to solve the lazy loading problem by moving the matchFilenameExtension logic from scan to getSpanSpec. The original place where scan is called does not necessarily call getSpanSpec, resulting in the related logic not being executed."
classgraph/classgraph,fbea81fb7f02b3a9d6313075fdd5822aac0d56fb,de4045723a5b1737deeb672427d5e82686ae286f,fix,Data Flow,No,Different Packages,0,Project & Domain,1012,"BIC modifies class loader related information (including order), resulting in incompatibility"
classgraph/classgraph,afc0608581e529a7df80e8ef4589eed581a73061,59b85b98402ea0333894f238e6e7b4f3a8d79534,feat,No,Business Error,Same Location,0,Project & Domain,940,"BIC adds the requirement to scan descriptors even if the package root is not in the whitelist, which is inconsistent with BFC specifications/requirements"
graphaware/neo4j-nlp,fcf2e530f2a54ac92f3a972c976895a748cca0bd,031aadd1244d91d9ed5367a131332334f51404f2,refactor,No,Unchecked Null,Same Location,0,Project & Domain,4388,"Arrays.asList(((String) next.get(""pos2"")).split("","")) becomes Arrays.asList((String[]) next.get(""pos1"")); a null pointer is generated"
graphaware/neo4j-nlp,b378a948f791c8bbab5c968a43747fa13e04053a,cdb3733703dfce2dac7797d861e45d3979144bef,refactor,Data Flow,No,Different Packages,0,Project & Domain,1744,"BIC modified the annotation, causing the expected exception to not be thrown"
brianm/config-magic,daea67a25d0053dd5fedcddfa87d9dbc46a6d5a0,ca793c951290606b62345a1c9eae2dc6287b3bc7,refactor,Invocation,No,Same Package,0,Project,801,"Changed if (value != null) to else, which caused the parameter of bully.coerce to be null, requiring coerce to handle null"
bguerout/jongo,ab5d27f6f6c3750846aeabac8371a705fced4af4,1700cc36bce336d2d249a6f1a65fe2b7984c3df9,feat,No,Business Error,Same Location,1,Project,1472,"The newly added identifier is the processing of the Sting character. The incorrect logic modifies the token, causing the parameter judgment condition to be triggered multiple times."
bguerout/jongo,7d9fb0d5d4bae31b08fabdda27eb7270ec529cf4,ab5d27f6f6c3750846aeabac8371a705fced4af4,feat,No,Business Error,Same Method,0,Project & Domain,986,"BIC implements adding optional quotes to the query, but does not properly support nesting inside the query"
bguerout/jongo,ab5d27f6f6c3750846aeabac8371a705fced4af4,1366aa38294148b8fb6b940a5bacb392dd178491,feat,No,Business Error,Same Class,0,Project & Domain,124,"BIC adds string processing to the query parser, but does not process parameters correctly."
osglworks/java-tool,69edb04cf5e8bf9a478c7afd80a1f56e70626a8b,b40ce1b350a5592943c5956aae2a47eaa5ac413f,fix,No,Business Error,Same Location,0,Domain,1060,Cloneable classes do not necessarily implement the clone method
osglworks/java-tool,98dbbcac39b37a10e440469fc6b9848af5d6c4a9,91b21edf8b505b0f0a1d1edef264223ef1783c60,fix,Data Flow,No,Same Class,0,Project & Domain,1008,"Bic fixes the problem of nested structure, not completely modified"
spring-projects/spring-hateoas,f008e751ab9abecac96ed00d63527cf8fe108571,a012159f2ecd508a3f236f9c6066a115008fc529,fix,No,Business Error,Same Location,0,Domain,870,"Use CleanUp to clean up abnormal values ​​in the previous return value, but miss the case without \ at the end. You should add \"
spring-projects/spring-hateoas,f568845146d28a35795678d3b3d4583df519e3c6,7174015746f9a19529bcb5f05943e66f1385e05b,fix,No,Business Error,Same Method,1,Domain,685,Improper URL encoding handling in ControllerLinkBuilderFactory causes special characters in request parameters to be double-encoded.
